
📺央视频道,#genre#
CCTV1综合,http://miguzb.33191.com/migu/migu20251205.php?id=608807420
CCTV2财经,http://miguzb.33191.com/migu/migu20251205.php?id=631780532
CCTV3综艺,http://miguzb.33191.com/migu/migu20251205.php?id=624878271
CCTV4中文国际,http://miguzb.33191.com/migu/migu20251205.php?id=631780421
CCTV5体育,http://miguzb.33191.com/migu/migu20251205.php?id=641886683
CCTV5+体育赛事,http://miguzb.33191.com/migu/migu20251205.php?id=641886773
CCTV6电影,http://miguzb.33191.com/migu/migu20251205.php?id=624878396
CCTV7国防军事,http://miguzb.33191.com/migu/migu20251205.php?id=673168121
CCTV8电视剧,http://miguzb.33191.com/migu/migu20251205.php?id=624878356
CCTV9纪录,http://miguzb.33191.com/migu/migu20251205.php?id=673168140
CCTV10科教,http://miguzb.33191.com/migu/migu20251205.php?id=624878405
CCTV11戏曲,http://miguzb.33191.com/migu/migu20251205.php?id=667987558
CCTV12社会与法,http://miguzb.33191.com/migu/migu20251205.php?id=673168185
CCTV13新闻,http://miguzb.33191.com/migu/migu20251205.php?id=608807423
CCTV14少儿,http://miguzb.33191.com/migu/migu20251205.php?id=624878440
CCTV15音乐,http://miguzb.33191.com/migu/migu20251205.php?id=673168223
CCTV17农业农村,http://miguzb.33191.com/migu/migu20251205.php?id=673168256
CCTV4欧洲,http://miguzb.33191.com/migu/migu20251205.php?id=608807419
CCTV4美洲,http://miguzb.33191.com/migu/migu20251205.php?id=608807416
CGTN外语纪录,http://miguzb.33191.com/migu/migu20251205.php?id=609006487
CGTN阿拉伯语,http://miguzb.33191.com/migu/migu20251205.php?id=609154345
CGTN西班牙语,http://miguzb.33191.com/migu/migu20251205.php?id=609006450
CGTN法语,http://miguzb.33191.com/migu/migu20251205.php?id=609006476
CGTN俄语,http://miguzb.33191.com/migu/migu20251205.php?id=609006446
老故事,http://miguzb.33191.com/migu/migu20251205.php?id=884121956
中学生,http://miguzb.33191.com/migu/migu20251205.php?id=708869532
CGTN,http://miguzb.33191.com/migu/migu20251205.php?id=609017205
📡卫视频道,#genre#
东方卫视,http://miguzb.33191.com/migu/migu20251205.php?id=651632648
北京卫视,http://miguzb.33191.com/wodepindao/df/beijing/beijing.php?id=bjws
江苏卫视,http://miguzb.33191.com/migu/migu20251205.php?id=623899368
广东卫视,http://miguzb.33191.com/migu/migu20251205.php?id=608831231
江西卫视,http://miguzb.33191.com/migu/migu20251205.php?id=783847495
河南卫视,http://miguzb.33191.com/migu/migu20251205.php?id=790187291
陕西卫视,http://miguzb.33191.com/migu/migu20251205.php?id=738910838
大湾区卫视,http://miguzb.33191.com/migu/migu20251205.php?id=608917627
湖北卫视,http://miguzb.33191.com/migu/migu20251205.php?id=947472496
吉林卫视,http://miguzb.33191.com/migu/migu20251205.php?id=947472500
青海卫视,http://miguzb.33191.com/migu/migu20251205.php?id=947472506
东南卫视,http://miguzb.33191.com/migu/migu20251205.php?id=849116810
海南卫视,http://miguzb.33191.com/migu/migu20251205.php?id=947472502
海峡卫视,http://miguzb.33191.com/migu/migu20251205.php?id=849119120
中国农林卫视,http://miguzb.33191.com/migu/migu20251205.php?id=956904896
兵团卫视,http://miguzb.33191.com/migu/migu20251205.php?id=956923145
辽宁卫视,http://miguzb.33191.com/migu/migu20251205.php?id=630291707
📡地方频道,#genre#
上海新闻综合,http://miguzb.33191.com/migu/migu20251205.php?id=651632657
上视东方影视,http://miguzb.33191.com/migu/migu20251205.php?id=617290047
南京新闻综合频道,http://miguzb.33191.com/migu/migu20251205.php?id=838109047
南京教科频道,http://miguzb.33191.com/migu/migu20251205.php?id=838153729
南京十八频道,http://miguzb.33191.com/migu/migu20251205.php?id=838151753
江苏城市频道,http://miguzb.33191.com/migu/migu20251205.php?id=626064714
江苏国际,http://miguzb.33191.com/migu/migu20251205.php?id=626064674
江苏教育,http://miguzb.33191.com/migu/migu20251205.php?id=628008321
江苏影视频道,http://miguzb.33191.com/migu/migu20251205.php?id=626064697
江苏综艺频道,http://miguzb.33191.com/migu/migu20251205.php?id=626065193
公共新闻频道,http://miguzb.33191.com/migu/migu20251205.php?id=626064693
盐城新闻综合,http://miguzb.33191.com/migu/migu20251205.php?id=639731825
